t,value,regime
0,-1.104079623255761,0
1,0.4272569125365588,0
2,-0.10713818685477042,0
3,0.013060580705266805,0
4,-0.8856147252541997,0
5,-0.17167276837806725,0
6,-0.06517435579575807,0
7,0.043826982508183156,0
8,0.4627237613532718,0
9,-0.31312041746246166,0
10,-0.10772578449869746,0
11,0.8630413363856245,0
12,-0.06694259221200229,0
13,0.7334106941648861,0
14,-0.8724269294569672,0
15,-0.08074681685232757,0
16,0.6296985768880005,0
17,0.36018809260023166,0
18,0.7738649019474306,0
19,-0.17534350279699812,0
20,0.07652442111408538,0
21,-1.1790620758525852,0
22,-0.6988826142724852,0
23,0.27273406259052657,0
24,-0.30797977416632216,0
25,0.43401928257760064,0
26,-0.584035901433767,1
27,1.1229334457504987,1
28,-1.672859722492153,1
29,-2.0849367159536434,1
30,2.2077147234527876,1
31,1.1668173400748345,1
32,0.041962593079287513,1
33,1.7166021136974068,1
34,1.823285180376799,1
35,2.32512916506236,1
36,-0.6350117550036998,1
37,-1.4748959014287137,1
38,0.11701672194692819,1
39,0.7306787932803815,1
40,-2.63847516584742,1
41,-1.1090468779259246,0
42,0.20920482662101345,0
43,0.6216215721240067,0
44,0.06869413839575922,0
45,-0.12375516210797459,0
46,0.09774473391937967,0
47,0.4460285905712184,1
48,-0.5025415157520048,0
49,0.1431114601333532,0
50,0.5996948863449227,0
51,0.20739865471278982,0
52,-0.06535503364413894,0
53,1.5382053081992668,1
54,1.246352953515736,1
55,-2.029020170085497,1
56,2.635657781654627,1
57,1.6753547914807654,1
58,0.7163442285215067,1
59,0.9703282523683128,1
60,0.4849302725796952,1
61,-1.4477509431196558,1
62,1.3217472750079573,1
63,0.11327694351843834,1
64,2.2896240041425164,1
65,-1.0161933180606835,1
66,-0.37490106334672135,0
67,-0.43117038857938755,0
68,0.5301057500097742,0
69,-0.012328966182634848,0
70,-0.2660291546751964,0
71,-0.6257023796713529,0
72,1.2818038988619849,0
73,0.05546905092335489,0
74,-0.30770544377404546,0
75,-0.22827358025669406,0
76,0.5912862012052195,0
77,-0.13792336605027836,0
78,-0.5323683031161055,0
79,-0.04032392400190959,0
80,0.8218475659986404,0
81,2.5182339559008424,1
82,2.666978827315093,1
83,-0.33299979324599405,0
84,-0.7165753061519035,0
85,-0.1861723437962552,0
86,-0.20441007289289853,0
87,0.004792855412812868,0
88,0.46241542207620867,0
89,-0.27794002688419517,0
90,-0.3834739346975984,0
91,-0.5453016136854411,0
92,0.36691535026137156,0
93,0.20690611519765773,0
94,0.4499017534331513,0
95,-0.6398562954678483,0
96,-0.23832143568856196,0
97,0.6452838542534896,0
98,0.20292748079762193,0
99,0.5911758652097701,0
100,0.48284221431581004,0
101,0.36804318056297997,0
102,-0.305469910401551,0
103,-0.05665961317574242,0
104,0.15900038687033646,0
105,1.17473875916626,0
106,0.37102207996660225,0
107,-0.047008404682526726,0
108,0.09315600238220086,0
109,0.2166072553006898,0
110,-0.0960182889901405,0
111,0.36674888244170856,0
112,0.5511026999242051,0
113,1.2321880682821917,0
114,0.7641921838502704,0
115,0.1583341445126119,0
116,-0.3069500707662274,0
117,-0.6011106855709852,0
118,0.5002161416554991,0
119,0.6175828298776359,0
120,0.7506814620631462,0
121,0.16428162921364695,0
122,0.0175054215695227,0
123,-0.03124008461525646,0
124,0.42126278916076515,0
125,-1.0235041913811291,0
126,-0.8647610992193512,0
127,-1.234768612663534,0
128,-0.21730194497172817,0
129,-0.05831071037266405,0
130,0.6015900156024659,0
131,0.024976109183996925,0
132,0.2680110234038366,0
133,-0.057259577475355705,0
134,-0.2431996959628108,0
135,-0.5461774189443904,0
136,0.12825254699499541,0
137,-0.014673274458021267,0
138,-0.527573030982592,0
139,-1.1138484711049195,1
140,-2.135128296528786,1
141,-1.6982431276114929,1
142,0.6225715454688814,0
143,0.18841903650122716,0
144,0.2638838254888004,0
145,-0.47385778397671624,0
146,-0.2863603634535132,0
147,0.6113147703383331,0
148,-0.3407132514739084,0
149,-0.3110215326382113,0
150,0.3341229454922021,0
151,2.355950606538081,1
152,2.471400438038368,1
153,0.4459784216459811,1
154,-1.2341016423362607,1
155,0.7246323232567328,1
156,1.0276781996859627,1
157,-0.4312604388826848,1
158,-0.46099293140514025,1
159,1.5301175238075606,1
160,3.935617922337577,1
161,-3.3459319724031067,1
162,0.08616891214204037,1
163,-3.1544893598319463,1
164,0.14909035714448343,1
165,-0.6124728091774448,1
166,4.081362270840821,1
167,0.27197395374725336,0
168,-0.53044899556417,0
169,0.781611809215627,0
170,-0.7704302694953673,0
171,0.34884285240956653,0
172,0.9094487445126193,0
173,0.20370823140698244,0
174,0.3656649728100351,0
175,0.2763605077266986,0
176,-0.05599281609207927,0
177,0.15609241414289513,0
178,-0.7367620745116176,0
179,0.3002504376622182,0
180,-0.32953445095113665,0
181,0.440250051582757,0
182,-0.14418882843466893,0
183,-0.035521785867011456,0
184,-0.090273570950933,0
185,-0.3890235856432101,0
186,0.28219465645531666,0
187,-0.11268161540846108,0
188,-0.5057047802603571,0
189,-0.21427988055926175,0
190,-0.07548871464647912,0
191,0.21360703173929294,0
192,0.1144636650896771,0
